"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","35.88","35.86","37.02","35.83","3.29M","0.39%"
"07/29/2024","35.74","35.80","35.84","35.15","2.38M","0.68%"
"07/26/2024","35.50","35.42","35.66","35.12","703.50K","0.25%"
"07/25/2024","35.41","34.83","35.44","34.80","1.43M","0.23%"
"07/24/2024","35.33","35.00","35.52","34.67","1.20M","-0.25%"
"07/23/2024","35.42","35.15","35.42","34.80","1.25M","0.85%"
"07/22/2024","35.12","35.28","35.55","34.83","880.34K","-0.03%"
"07/19/2024","35.13","35.19","35.51","34.79","965.38K","-0.48%"
"07/18/2024","35.30","34.98","35.59","34.42","1.90M","1.50%"
"07/17/2024","34.78","35.80","35.98","34.62","2.07M","-3.07%"
"07/16/2024","35.88","36.51","36.59","35.64","1.55M","-2.15%"
"07/15/2024","36.67","36.50","36.88","36.17","1.26M","-0.35%"
"07/12/2024","36.80","36.45","36.87","36.26","1.78M","0.55%"
"07/11/2024","36.60","36.00","36.75","35.73","878.42K","2.32%"
"07/10/2024","35.77","36.41","36.56","35.36","1.81M","-0.89%"
"07/09/2024","36.09","35.86","36.13","35.80","1.16M","0.59%"
"07/08/2024","35.88","35.60","36.03","35.41","1.32M","0.79%"
"07/05/2024","35.60","36.72","36.72","35.24","1.55M","-2.25%"
"07/04/2024","36.42","36.63","36.77","35.97","1.25M","-0.57%"
"07/03/2024","36.63","36.93","36.98","36.38","1.86M","0.52%"
"07/02/2024","36.44","37.13","37.24","36.24","3.15M","-2.17%"
"07/01/2024","37.25","37.90","38.13","37.21","2.07M","-1.19%"
"06/28/2024","37.70","38.12","38.21","37.45","1.68M","-0.92%"
"06/27/2024","38.05","38.10","38.90","37.91","3.44M","-0.63%"
"06/26/2024","38.29","38.00","38.44","37.77","5.41M","1.86%"
"06/25/2024","37.59","37.62","38.04","37.12","2.15M","-0.08%"
"06/24/2024","37.62","37.00","37.80","36.97","2.22M","1.51%"
"06/21/2024","37.06","37.05","37.52","36.87","5.54M","-0.35%"
"06/20/2024","37.19","37.30","37.63","36.78","2.38M","-0.29%"
"06/19/2024","37.30","37.50","37.55","36.92","1.23M","0.27%"
"06/18/2024","37.20","37.93","37.99","37.12","1.67M","-1.33%"
"06/17/2024","37.70","36.73","37.95","36.73","6.49M","2.53%"
"06/14/2024","36.77","37.27","37.27","36.36","1.47M","-1.53%"
"06/13/2024","37.34","37.72","37.78","37.01","1.62M","-0.59%"
"06/12/2024","37.56","37.30","37.68","36.86","3.45M","0.70%"
"06/11/2024","37.30","37.50","37.78","36.95","1.44M","-0.51%"
"06/10/2024","37.49","36.69","37.49","36.66","2.25M","0.83%"
"06/07/2024","37.18","37.65","37.81","36.68","2.35M","-1.30%"
"06/06/2024","37.67","38.30","38.79","37.48","1.87M","-1.52%"
"06/05/2024","38.25","38.29","38.54","37.78","2.27M","-0.10%"
"06/04/2024","38.29","37.89","38.51","37.62","4.13M","0.76%"
"06/03/2024","38.00","38.17","38.47","37.60","2.23M","0.61%"
"05/31/2024","37.77","38.90","39.00","37.00","9.42M","-3.45%"
"05/29/2024","39.12","39.60","39.83","38.67","3.75M","-1.81%"
"05/28/2024","39.84","40.00","40.71","39.52","4.21M","-0.62%"
"05/27/2024","40.09","39.98","40.09","39.45","7.78M","0.23%"
"05/24/2024","40.00","39.72","40.39","39.62","3.35M","0.20%"
"05/23/2024","39.92","38.59","41.13","38.38","7.74M","5.30%"
"05/22/2024","37.91","37.50","37.91","36.23","3.30M","0.74%"
"05/21/2024","37.63","38.70","38.88","37.40","3.31M","-3.12%"
"05/20/2024","38.84","39.00","39.18","36.98","4.02M","-0.03%"
"05/17/2024","38.85","38.16","38.85","38.16","5.80M","1.20%"
"05/16/2024","38.39","38.22","38.74","38.11","2.02M","0.42%"
"05/15/2024","38.23","38.01","38.23","37.63","3.48M","0.45%"
"05/14/2024","38.06","38.00","38.08","37.30","5.34M","0.00%"
"05/13/2024","38.06","37.71","38.45","37.71","3.87M","0.16%"
"05/10/2024","38.00","37.50","38.12","37.34","3.95M","2.37%"
"05/09/2024","37.12","36.44","37.50","36.22","7.43M","1.95%"
"05/08/2024","36.41","36.20","36.72","36.10","3.53M","0.55%"
"05/07/2024","36.21","36.60","37.19","35.83","5.61M","-1.90%"
"05/06/2024","36.91","34.62","37.59","34.62","6.02M","7.92%"
"05/02/2024","34.20","33.90","34.52","33.90","1.03M","0.53%"
"04/30/2024","34.02","34.37","34.62","33.73","1.46M","-0.82%"
"04/29/2024","34.30","33.29","34.38","33.29","2.93M","3.10%"
"04/26/2024","33.27","32.60","33.90","32.60","2.69M","3.00%"
"04/25/2024","32.30","32.73","33.00","32.23","1.86M","-1.82%"
"04/24/2024","32.90","33.33","33.48","32.49","2.87M","-1.29%"
"04/23/2024","33.33","33.49","33.80","32.98","2.20M","0.09%"
"04/22/2024","33.30","32.99","33.80","32.65","10.53M","1.96%"
"04/19/2024","32.66","32.48","33.15","32.48","8.86M","-1.03%"
"04/18/2024","33.00","31.96","33.02","31.69","6.89M","3.48%"
"04/17/2024","31.89","33.10","33.41","31.89","15.70M","1.63%"
"04/16/2024","31.38","30.58","31.48","30.50","2.11M","1.16%"
"04/15/2024","31.02","31.00","31.50","30.73","856.11K","0.26%"
"04/12/2024","30.94","31.48","31.75","30.85","1.77M","-1.62%"
"04/11/2024","31.45","31.18","32.06","31.18","3.30M","1.32%"
"04/10/2024","31.04","30.80","31.20","30.68","2.26M","0.94%"
"04/09/2024","30.75","31.05","31.53","30.56","2.19M","-0.97%"
"04/08/2024","31.05","30.64","31.12","30.52","2.21M","0.49%"
"04/05/2024","30.90","31.50","31.51","30.79","3.02M","-2.40%"
"04/04/2024","31.66","32.00","32.09","31.52","2.23M","-1.34%"
"04/03/2024","32.09","32.12","32.72","31.70","1.78M","-0.34%"
"04/02/2024","32.20","33.07","33.07","31.86","1.93M","-2.69%"
"03/28/2024","33.09","32.43","33.14","32.43","2.12M","2.10%"
"03/27/2024","32.41","31.96","32.41","31.90","1.20M","1.41%"
"03/26/2024","31.96","31.60","32.36","31.47","2.45M","1.17%"
"03/25/2024","31.59","32.60","32.71","31.49","1.66M","-3.51%"
"03/22/2024","32.74","32.63","33.37","32.45","2.51M","0.46%"
"03/21/2024","32.59","31.80","32.75","31.77","2.77M","3.10%"
"03/20/2024","31.61","31.70","32.06","31.47","2.23M","-0.09%"
"03/19/2024","31.64","32.05","32.99","31.20","3.11M","-1.28%"
"03/18/2024","32.05","33.07","33.55","31.46","3.33M","-3.06%"
"03/15/2024","33.06","30.80","33.49","30.80","9.87M","7.76%"
"03/14/2024","30.68","31.36","32.15","30.34","6.22M","1.12%"
"03/13/2024","30.34","31.16","31.18","30.31","2.77M","-2.41%"
"03/12/2024","31.09","31.00","31.32","30.67","2.98M","0.81%"
"03/11/2024","30.84","31.23","31.30","30.52","2.13M","-1.34%"
"03/08/2024","31.26","30.98","31.40","30.52","2.58M","1.49%"
"03/07/2024","30.80","30.30","30.88","30.10","1.90M","0.92%"
"03/06/2024","30.52","30.54","30.89","30.50","2.08M","-0.07%"
"03/05/2024","30.54","30.70","30.82","30.22","3.12M","-0.68%"
"03/04/2024","30.75","31.50","31.55","30.71","1.72M","-1.91%"
"03/01/2024","31.35","32.59","32.63","31.14","1.73M","-2.76%"
"02/29/2024","32.24","32.15","32.71","31.91","1.93M","-0.34%"
"02/28/2024","32.35","33.54","33.54","32.30","1.52M","-3.55%"
"02/27/2024","33.54","33.38","33.96","33.12","2.05M","0.48%"
"02/26/2024","33.38","32.87","33.44","32.84","1.16M","1.55%"
"02/23/2024","32.87","33.13","33.94","32.64","2.29M","-0.75%"
"02/22/2024","33.12","31.73","33.16","31.44","3.12M","6.22%"
"02/21/2024","31.18","31.86","32.12","31.14","1.64M","-2.13%"
"02/20/2024","31.86","31.98","32.40","31.80","1.27M","-1.24%"
"02/19/2024","32.26","31.80","32.31","31.67","1.22M","1.45%"
"02/16/2024","31.80","32.00","32.30","31.62","477.95K","-0.63%"
"02/15/2024","32.00","32.05","32.26","31.88","1.02M","-0.16%"
"02/14/2024","32.05","31.04","32.10","31.04","943.22K","2.43%"
"02/13/2024","31.29","32.16","32.70","30.79","3.37M","-2.83%"
"02/12/2024","32.20","31.70","32.20","31.50","1.60M","1.71%"
"02/09/2024","31.66","31.48","31.80","31.34","2.19M","0.57%"
"02/08/2024","31.48","30.90","31.70","30.87","1.19M","1.55%"
"02/07/2024","31.00","30.53","31.20","30.43","1.01M","1.14%"
"02/06/2024","30.65","30.78","30.84","30.33","1.46M","0.89%"
"02/05/2024","30.38","30.60","31.28","30.25","1.99M","-0.10%"
"02/02/2024","30.41","31.05","31.57","30.41","2.23M","-1.81%"
"02/01/2024","30.97","30.39","31.29","30.16","1.86M","1.91%"
"01/31/2024","30.39","30.02","30.40","30.02","1.35M","0.96%"
"01/30/2024","30.10","30.14","30.48","29.96","682.67K","-0.13%"
"01/29/2024","30.14","30.20","30.36","29.86","877.96K","-0.26%"
"01/26/2024","30.22","30.00","30.30","29.85","1.05M","0.07%"
"01/25/2024","30.20","30.59","31.09","29.93","1.61M","-1.05%"
"01/24/2024","30.52","30.30","30.62","30.02","1.27M","1.73%"
"01/23/2024","30.00","30.54","30.61","29.77","1.54M","-0.76%"
"01/22/2024","30.23","31.30","31.52","30.12","2.51M","-4.06%"
"01/19/2024","31.51","30.93","31.51","30.27","2.72M","3.01%"
"01/18/2024","30.59","30.45","31.02","30.02","2.12M","1.29%"
