"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","155.55","158.50","160.40","155.55","319.13K","-1.98%"
"07/29/2024","158.70","156.40","159.05","156.10","299.42K","2.09%"
"07/26/2024","155.45","157.25","158.95","155.10","151.59K","-1.14%"
"07/25/2024","157.25","152.40","159.00","150.60","337.44K","0.67%"
"07/24/2024","156.20","156.50","159.05","155.20","247.53K","-0.70%"
"07/23/2024","157.30","157.50","159.05","155.65","215.29K","0.10%"
"07/22/2024","157.15","157.50","159.00","152.10","286.15K","-0.22%"
"07/19/2024","157.50","160.00","161.15","157.40","355.43K","-2.66%"
"07/18/2024","161.80","161.00","163.00","158.10","294.92K","1.25%"
"07/17/2024","159.80","160.00","164.45","158.75","550.08K","-0.44%"
"07/16/2024","160.50","163.50","163.55","157.75","577.20K","-2.01%"
"07/15/2024","163.80","158.25","163.80","156.70","582.92K","3.31%"
"07/12/2024","158.55","150.15","159.05","149.50","773.13K","5.70%"
"07/11/2024","150.00","148.45","150.60","147.85","291.45K","1.59%"
"07/10/2024","147.65","148.70","149.85","146.35","418.63K","0.17%"
"07/09/2024","147.40","146.20","148.10","145.50","296.14K","0.75%"
"07/08/2024","146.30","144.70","146.80","143.50","219.66K","0.90%"
"07/05/2024","145.00","143.70","145.60","143.40","352.76K","2.11%"
"07/04/2024","142.00","143.00","143.25","140.40","139.97K","-0.53%"
"07/03/2024","142.75","140.00","142.75","139.25","235.77K","2.81%"
"07/02/2024","138.85","139.00","140.40","137.05","213.92K","0.40%"
"07/01/2024","138.30","139.85","140.00","137.10","219.25K","-0.47%"
"06/28/2024","138.95","138.50","139.55","137.25","284.59K","0.32%"
"06/27/2024","138.50","141.40","141.70","136.70","438.88K","-2.05%"
"06/26/2024","141.40","143.85","144.95","141.40","288.94K","-1.67%"
"06/25/2024","143.80","143.00","145.40","140.90","370.86K","0.45%"
"06/24/2024","143.15","136.00","143.50","136.00","535.20K","5.30%"
"06/21/2024","135.95","136.75","138.60","135.70","646.75K","-0.91%"
"06/20/2024","137.20","137.60","138.40","135.40","292.18K","-0.72%"
"06/19/2024","138.20","136.00","138.55","135.80","274.19K","1.47%"
"06/18/2024","136.20","136.25","137.45","135.60","430.33K","0.11%"
"06/17/2024","136.05","133.80","137.45","133.80","313.80K","1.68%"
"06/14/2024","133.80","131.85","134.60","130.80","303.40K","0.64%"
"06/13/2024","132.95","134.05","135.75","132.05","243.23K","-1.52%"
"06/12/2024","135.00","134.50","136.05","131.05","378.97K","0.41%"
"06/11/2024","134.45","135.00","137.55","133.30","386.67K","0.34%"
"06/10/2024","134.00","134.95","135.15","132.40","231.88K","-0.63%"
"06/07/2024","134.85","133.30","137.70","131.95","374.30K","1.77%"
"06/06/2024","132.50","134.50","135.00","132.50","225.20K","-0.53%"
"06/05/2024","133.20","132.50","133.55","131.55","321.20K","0.60%"
"06/04/2024","132.40","133.50","135.20","132.15","458.70K","-1.38%"
"06/03/2024","134.25","131.50","135.45","131.00","523.31K","3.03%"
"05/31/2024","130.30","130.40","132.25","126.50","926.45K","0.00%"
"05/29/2024","130.30","142.00","142.90","129.85","1.27M","-6.39%"
"05/28/2024","139.20","139.80","141.50","138.80","431.78K","-0.39%"
"05/27/2024","139.75","139.00","141.15","139.00","202.27K","0.25%"
"05/24/2024","139.40","141.10","141.50","137.45","375.09K","-1.93%"
"05/23/2024","142.15","145.00","145.00","140.80","444.04K","-1.97%"
"05/22/2024","145.00","142.65","148.95","141.75","620.70K","1.75%"
"05/21/2024","142.50","142.70","144.00","141.90","378.60K","-0.11%"
"05/20/2024","142.65","141.00","143.25","140.35","281.55K","1.10%"
"05/17/2024","141.10","141.70","142.50","140.60","214.08K","-1.26%"
"05/16/2024","142.90","140.00","144.20","140.00","482.21K","2.33%"
"05/15/2024","139.65","142.25","143.00","136.70","585.31K","-2.38%"
"05/14/2024","143.05","142.00","143.90","139.00","867.01K","1.56%"
"05/13/2024","140.85","131.00","142.15","131.00","946.28K","6.91%"
"05/10/2024","131.75","130.75","133.75","130.75","311.16K","0.19%"
"05/09/2024","131.50","132.60","134.30","130.30","248.70K","-0.23%"
"05/08/2024","131.80","128.50","134.85","128.10","901.84K","2.57%"
"05/07/2024","128.50","124.20","129.65","124.20","654.08K","3.55%"
"05/06/2024","124.10","120.00","126.40","119.65","695.89K","3.81%"
"05/02/2024","119.55","118.50","123.50","117.05","528.88K","0.89%"
"04/30/2024","118.50","118.20","119.65","117.80","244.95K","0.55%"
"04/29/2024","117.85","116.00","118.30","116.00","222.91K","1.46%"
"04/26/2024","116.15","115.60","116.80","114.90","176.84K","1.35%"
"04/25/2024","114.60","115.75","116.40","114.10","201.05K","-1.33%"
"04/24/2024","116.15","116.00","118.15","115.70","276.87K","0.35%"
"04/23/2024","115.75","116.30","117.75","115.05","364.39K","-0.43%"
"04/22/2024","116.25","113.95","116.35","113.95","285.60K","2.69%"
"04/19/2024","113.20","112.00","113.75","111.80","195.12K","0.44%"
"04/18/2024","112.70","113.00","113.80","111.15","338.97K","0.22%"
"04/17/2024","112.45","111.50","113.05","111.05","326.58K","0.81%"
