"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","12.88","12.82","13.50","12.72","2.17M","1.42%"
"07/29/2024","12.70","12.92","12.99","12.53","553.17K","-1.63%"
"07/26/2024","12.91","12.94","13.15","12.64","990.19K","0.08%"
"07/25/2024","12.90","11.65","12.90","11.58","2.57M","10.16%"
"07/24/2024","11.71","11.52","11.88","11.51","407.32K","0.77%"
"07/23/2024","11.62","11.92","11.97","11.54","673.42K","-0.94%"
"07/22/2024","11.73","11.51","11.89","11.51","471.35K","1.82%"
"07/19/2024","11.52","11.66","11.74","11.51","472.37K","-2.04%"
"07/18/2024","11.76","11.52","11.81","11.40","1.07M","2.80%"
"07/17/2024","11.44","11.40","11.57","11.12","1.34M","0.62%"
"07/16/2024","11.37","12.16","12.16","11.35","2.04M","-6.27%"
"07/15/2024","12.13","12.17","12.20","12.00","517.30K","-0.16%"
"07/12/2024","12.15","12.23","12.43","12.15","720.38K","-0.65%"
"07/11/2024","12.23","12.37","12.39","12.18","437.71K","-0.49%"
"07/10/2024","12.29","12.41","12.41","12.20","435.99K","-1.21%"
"07/09/2024","12.44","12.49","12.52","12.33","326.16K","0.24%"
"07/08/2024","12.41","12.54","12.55","12.28","431.25K","0.00%"
"07/05/2024","12.41","12.44","12.64","12.36","569.08K","0.32%"
"07/04/2024","12.37","12.38","12.44","12.26","353.03K","0.00%"
"07/03/2024","12.37","12.20","12.38","12.07","468.81K","2.57%"
"07/02/2024","12.06","12.39","12.39","12.06","518.63K","-2.35%"
"07/01/2024","12.35","12.26","12.46","12.22","544.25K","1.90%"
"06/28/2024","12.12","12.15","12.26","12.06","527.14K","-0.25%"
"06/27/2024","12.15","12.20","12.35","12.07","610.10K","0.00%"
"06/26/2024","12.15","12.20","12.38","12.15","458.04K","-0.25%"
"06/25/2024","12.18","12.35","12.38","12.13","597.86K","-1.46%"
"06/24/2024","12.36","12.23","12.42","12.20","842.24K","2.40%"
"06/21/2024","12.07","12.12","12.26","11.97","1.22M","-0.49%"
"06/20/2024","12.13","12.30","12.41","12.11","753.27K","-0.57%"
"06/19/2024","12.20","12.13","12.36","12.04","628.72K","0.74%"
"06/18/2024","12.11","12.45","12.60","12.11","839.34K","-1.54%"
"06/17/2024","12.30","11.91","12.42","11.89","719.20K","3.45%"
"06/14/2024","11.89","11.80","12.12","11.68","1.07M","1.19%"
"06/13/2024","11.75","12.32","12.43","11.72","1.18M","-3.61%"
"06/12/2024","12.19","12.10","12.32","11.98","859.28K","1.33%"
"06/11/2024","12.03","12.40","12.53","12.03","861.19K","-2.98%"
"06/10/2024","12.40","12.50","12.52","12.20","464.69K","-0.72%"
"06/07/2024","12.49","12.59","12.77","12.44","544.30K","-0.87%"
"06/06/2024","12.60","12.77","12.83","12.49","458.23K","-0.40%"
"06/05/2024","12.65","12.78","12.79","12.53","456.12K","-0.16%"
"06/04/2024","12.67","13.10","13.14","12.67","617.85K","-3.28%"
