"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","338.60","346.50","348.80","337.50","197.60K","-2.28%"
"07/29/2024","346.50","343.90","347.60","339.70","254.03K","0.76%"
"07/26/2024","343.90","353.70","358.00","336.90","687.23K","-2.13%"
"07/25/2024","351.40","360.00","360.80","330.80","1.46M","-9.18%"
"07/24/2024","386.90","388.50","389.90","384.00","166.65K","-0.21%"
"07/23/2024","387.70","398.00","398.40","387.70","116.35K","-2.66%"
"07/22/2024","398.30","406.60","409.80","397.70","119.08K","-1.12%"
"07/19/2024","402.80","407.30","407.30","400.50","95.79K","-1.10%"
"07/18/2024","407.30","396.90","408.00","393.10","140.20K","2.62%"
"07/17/2024","396.90","398.10","404.00","387.30","151.58K","0.46%"
"07/16/2024","395.10","407.50","408.30","395.10","134.64K","-3.04%"
"07/15/2024","407.50","405.10","407.90","404.00","103.79K","0.87%"
"07/12/2024","404.00","400.00","409.40","400.00","127.17K","1.13%"
"07/11/2024","399.50","392.30","401.90","392.30","132.56K","1.52%"
"07/10/2024","393.50","391.20","397.70","389.20","277.31K","1.29%"
"07/09/2024","388.50","389.50","391.00","386.40","126.16K","0.18%"
"07/08/2024","387.80","386.00","390.30","386.00","125.06K","0.73%"
"07/05/2024","385.00","394.90","396.30","381.40","154.14K","-1.79%"
"07/04/2024","392.00","396.00","399.20","391.40","89.44K","-1.18%"
"07/03/2024","396.70","393.50","399.50","393.50","81.59K","0.81%"
"07/02/2024","393.50","398.20","399.90","392.50","126.32K","-1.18%"
"07/01/2024","398.20","406.60","409.30","395.60","234.08K","-1.97%"
"06/28/2024","406.20","408.70","412.40","402.00","205.48K","1.15%"
"06/27/2024","401.60","407.10","416.00","401.60","261.30K","-3.53%"
"06/26/2024","416.30","415.00","420.50","415.00","196.81K","0.05%"
"06/25/2024","416.10","414.10","417.90","409.60","186.54K","0.43%"
"06/24/2024","414.30","412.40","416.90","409.80","229.23K","0.46%"
"06/21/2024","412.40","407.80","417.20","406.40","406.60K","1.38%"
"06/20/2024","406.80","403.40","408.70","400.50","127.37K","1.17%"
"06/19/2024","402.10","400.00","405.20","399.60","72.98K","0.63%"
"06/18/2024","399.60","406.40","409.20","399.60","130.43K","-1.60%"
"06/17/2024","406.10","398.70","408.60","397.10","147.68K","2.01%"
"06/14/2024","398.10","392.90","399.00","389.60","193.04K","1.38%"
"06/13/2024","392.70","391.80","396.40","387.00","277.04K","0.20%"
"06/12/2024","391.90","388.50","393.00","382.50","328.04K","0.62%"
"06/11/2024","389.50","396.00","396.90","385.70","117.80K","-1.64%"
"06/10/2024","396.00","387.40","396.20","386.90","181.65K","2.22%"
"06/07/2024","387.40","391.10","395.80","386.00","119.34K","-0.87%"
"06/06/2024","390.80","390.00","394.30","387.90","110.08K","0.64%"
"06/05/2024","388.30","391.30","392.70","383.70","211.77K","-0.82%"
"06/04/2024","391.50","397.60","400.30","391.00","165.46K","-1.29%"
"06/03/2024","396.60","395.60","402.50","395.60","97.88K","1.15%"
"05/31/2024","392.10","392.50","400.40","388.20","503.80K","0.00%"
"05/29/2024","392.10","395.00","397.80","388.50","149.92K","-1.03%"
"05/28/2024","396.20","400.30","403.50","396.00","122.28K","-1.02%"
"05/27/2024","400.30","408.20","409.40","398.50","90.99K","-1.65%"
"05/24/2024","407.00","404.30","409.20","404.20","159.80K","-0.46%"
"05/23/2024","408.90","406.00","413.80","404.10","120.07K","0.57%"
"05/22/2024","406.60","407.10","410.20","402.10","157.99K","-0.29%"
"05/21/2024","407.80","408.50","411.90","404.00","141.40K","-0.59%"
"05/20/2024","410.20","407.50","412.00","406.70","107.54K","0.96%"
"05/17/2024","406.30","407.40","409.90","403.00","165.30K","-0.07%"
"05/16/2024","406.60","398.00","407.90","394.10","252.28K","3.20%"
"05/15/2024","394.00","387.60","395.80","383.60","181.27K","1.60%"
"05/14/2024","387.80","391.50","394.20","384.70","281.80K","-0.56%"
"05/13/2024","390.00","388.60","391.50","385.10","338.88K","-0.43%"
"05/10/2024","391.70","382.50","395.50","381.70","478.33K","-1.09%"
"05/09/2024","396.00","399.00","400.90","391.40","455.82K","-0.83%"
"05/08/2024","399.30","400.70","403.90","396.70","446.44K","0.73%"
"05/07/2024","396.40","397.50","403.90","391.40","370.86K","0.08%"
"05/06/2024","396.10","386.70","397.40","384.00","253.57K","2.43%"
"05/02/2024","386.70","390.80","391.50","384.40","318.66K","-0.82%"
