"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","95.04","97.02","97.72","95.04","267.20K","-3.20%"
"07/29/2024","98.18","97.00","98.18","95.94","202.84K","2.12%"
"07/26/2024","96.14","97.12","98.38","95.76","276.15K","-2.48%"
"07/25/2024","98.58","96.10","98.58","95.26","301.42K","0.69%"
"07/24/2024","97.90","96.64","97.92","95.86","229.93K","1.30%"
"07/23/2024","96.64","98.88","98.88","95.80","134.98K","-2.27%"
"07/22/2024","98.88","97.50","98.88","97.24","330.75K","1.90%"
"07/19/2024","97.04","95.00","97.80","95.00","142.46K","-0.14%"
"07/18/2024","97.18","94.42","97.22","93.40","254.36K","3.27%"
"07/17/2024","94.10","96.38","98.00","94.00","234.78K","-2.39%"
"07/16/2024","96.40","100.00","100.25","96.00","308.50K","-4.70%"
"07/15/2024","101.15","100.50","101.15","99.22","172.78K","0.00%"
"07/12/2024","101.15","101.50","102.40","100.50","106.37K","-0.83%"
"07/11/2024","102.00","100.65","102.75","99.78","162.42K","1.49%"
"07/10/2024","100.50","101.15","102.50","99.84","133.26K","-0.69%"
"07/09/2024","101.20","100.90","101.25","100.00","110.76K","0.55%"
"07/08/2024","100.65","99.42","100.95","98.88","100.27K","1.24%"
"07/05/2024","99.42","101.40","102.00","98.82","161.92K","-1.71%"
"07/04/2024","101.15","101.00","102.00","100.20","84.01K","-0.15%"
"07/03/2024","101.30","100.95","102.40","99.86","162.21K","0.35%"
"07/02/2024","100.95","103.20","103.50","100.60","128.64K","-2.60%"
"07/01/2024","103.65","101.90","104.00","101.75","201.87K","1.27%"
"06/28/2024","102.35","103.20","103.20","101.15","201.64K","-0.73%"
"06/27/2024","103.10","101.00","103.20","100.30","371.18K","2.08%"
"06/26/2024","101.00","99.98","101.10","99.90","251.07K","1.10%"
"06/25/2024","99.90","97.38","100.50","96.78","402.06K","2.27%"
"06/24/2024","97.68","96.00","97.68","95.06","164.15K","1.37%"
"06/21/2024","96.36","95.34","96.58","94.62","480.02K","1.07%"
"06/20/2024","95.34","96.46","97.78","94.50","141.41K","-1.16%"
"06/19/2024","96.46","93.00","96.80","93.00","235.30K","3.72%"
"06/18/2024","93.00","92.50","94.26","92.50","202.03K","0.54%"
