"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","825.00","825.50","836.00","822.00","11.62K","-0.06%"
"07/29/2024","825.50","832.00","835.50","813.00","12.25K","0.00%"
"07/26/2024","825.50","839.50","846.00","823.50","19.76K","-0.72%"
"07/25/2024","831.50","850.00","854.50","824.00","23.60K","-2.75%"
"07/24/2024","855.00","844.00","864.00","835.50","22.71K","1.54%"
"07/23/2024","842.00","859.00","859.00","827.00","15.57K","-1.41%"
"07/22/2024","854.00","856.00","856.00","833.50","13.75K","-0.12%"
"07/19/2024","855.00","833.50","867.00","825.00","24.89K","2.70%"
"07/18/2024","832.50","834.00","840.50","822.50","13.77K","-0.12%"
"07/17/2024","833.50","840.00","844.00","821.50","17.79K","-1.13%"
"07/16/2024","843.00","855.50","856.50","838.50","7.64K","-1.40%"
"07/15/2024","855.00","863.50","869.50","852.50","6.45K","-0.87%"
"07/12/2024","862.50","860.00","870.00","855.00","9.82K","0.41%"
"07/11/2024","859.00","855.00","862.00","848.50","10.43K","0.70%"
"07/10/2024","853.00","870.00","872.00","851.50","6.60K","-1.50%"
"07/09/2024","866.00","871.00","873.00","859.50","8.64K","-0.46%"
"07/08/2024","870.00","863.00","871.50","856.50","9.03K","1.05%"
"07/05/2024","861.00","874.00","876.00","861.00","8.77K","-0.98%"
"07/04/2024","869.50","871.00","877.50","866.50","4.33K","-0.17%"
"07/03/2024","871.00","870.50","879.00","859.00","11.41K","0.29%"
"07/02/2024","868.50","866.00","871.00","849.00","10.70K","0.75%"
"07/01/2024","862.00","890.00","898.50","858.00","16.64K","-3.69%"
"06/28/2024","895.00","901.00","901.00","889.00","10.32K","-0.11%"
"06/27/2024","896.00","904.00","912.00","888.50","8.31K","0.67%"
"06/26/2024","890.00","891.00","913.00","886.00","10.55K","-0.17%"
"06/25/2024","891.50","908.00","918.00","891.00","14.33K","-1.65%"
"06/24/2024","906.50","894.00","907.00","889.00","11.49K","1.45%"
"06/21/2024","893.50","877.00","896.00","876.00","57.23K","1.94%"
"06/20/2024","876.50","870.00","883.50","862.00","12.13K","1.21%"
"06/19/2024","866.00","857.00","872.00","848.50","10.92K","1.05%"
"06/18/2024","857.00","864.50","869.00","849.00","11.31K","-0.35%"
"06/17/2024","860.00","840.00","862.50","839.00","12.97K","2.14%"
"06/14/2024","842.00","846.00","849.00","830.00","15.65K","-0.94%"
"06/13/2024","850.00","881.50","885.00","844.50","13.64K","-2.75%"
"06/12/2024","874.00","866.00","886.00","861.50","19.57K","2.28%"
"06/11/2024","854.50","866.00","868.00","853.00","13.47K","-0.98%"
"06/10/2024","863.00","863.00","865.50","842.00","8.83K","0.00%"
"06/07/2024","863.00","870.50","873.00","856.00","9.64K","-0.80%"
"06/06/2024","870.00","863.00","871.50","850.50","9.49K","0.87%"
"06/05/2024","862.50","860.50","864.50","845.50","12.42K","0.23%"
"06/04/2024","860.50","866.50","871.00","859.00","5.11K","-0.06%"
"06/03/2024","861.00","865.50","881.50","854.00","15.34K","-0.23%"
"05/31/2024","863.00","858.50","876.50","853.50","23.12K","0.52%"
"05/29/2024","858.50","865.00","868.50","851.00","9.18K","-0.17%"
"05/28/2024","860.00","864.00","867.50","858.00","10.52K","-0.41%"
"05/27/2024","863.50","858.00","869.00","858.00","7.05K","0.64%"
"05/24/2024","858.00","876.50","879.50","857.00","5.95K","-2.11%"
"05/23/2024","876.50","879.50","886.00","874.00","21.59K","-0.23%"
"05/22/2024","878.50","883.00","889.50","875.50","21.40K","-0.17%"
"05/21/2024","880.00","883.00","884.50","876.50","18.79K","-0.23%"
"05/20/2024","882.00","882.50","886.00","879.00","11.49K","0.00%"
"05/17/2024","882.00","890.00","892.50","879.50","21.54K","-0.56%"
"05/16/2024","887.00","892.00","897.50","881.00","41.85K","-0.89%"
"05/15/2024","895.00","890.50","904.00","888.00","26.33K","1.13%"
"05/14/2024","885.00","885.00","891.50","875.50","30.63K","-0.51%"
"05/13/2024","889.50","880.50","893.50","880.00","14.70K","1.02%"
"05/10/2024","880.50","886.50","893.00","878.50","18.72K","-0.79%"
"05/09/2024","887.50","886.50","895.00","876.00","26.04K","0.11%"
"05/08/2024","886.50","867.50","886.50","865.00","19.58K","2.25%"
"05/07/2024","867.00","868.00","878.00","862.00","18.53K","-0.12%"
"05/06/2024","868.00","842.00","870.00","842.00","25.00K","3.39%"
"05/02/2024","839.50","845.00","847.50","833.00","11.23K","-0.47%"
"04/30/2024","843.50","856.50","860.00","833.50","28.38K","-1.98%"
"04/29/2024","860.50","850.50","860.50","845.00","17.65K","1.12%"
"04/26/2024","851.00","837.50","853.50","836.50","15.64K","1.79%"
"04/25/2024","836.00","834.50","843.00","828.50","15.58K","0.12%"
"04/24/2024","835.00","840.00","847.50","830.00","22.91K","-0.36%"
"04/23/2024","838.00","842.00","850.00","830.50","22.78K","-0.48%"
"04/22/2024","842.00","826.50","843.50","817.00","19.46K","1.75%"
"04/19/2024","827.50","816.50","832.50","811.50","21.63K","1.29%"
"04/18/2024","817.00","822.00","828.00","789.50","34.05K","0.43%"
"04/17/2024","813.50","800.00","824.00","800.00","30.54K","1.88%"
"04/16/2024","798.50","783.50","813.50","779.00","35.58K","0.88%"
"04/15/2024","791.50","786.00","800.50","786.00","19.49K","1.02%"
"04/12/2024","783.50","803.50","808.00","778.00","16.96K","-1.63%"
"04/11/2024","796.50","790.00","803.50","789.50","18.92K","0.89%"
"04/10/2024","789.50","786.00","801.00","784.50","19.76K","0.96%"
"04/09/2024","782.00","797.50","808.50","769.00","24.57K","-2.25%"
"04/08/2024","800.00","786.50","808.00","785.50","17.73K","2.30%"
"04/05/2024","782.00","772.00","786.50","762.50","16.54K","0.13%"
"04/04/2024","781.00","753.50","785.50","753.50","19.73K","3.86%"
"04/03/2024","752.00","750.50","754.50","747.00","10.70K","0.27%"
"04/02/2024","750.00","760.00","769.50","739.50","14.13K","-1.32%"
"03/28/2024","760.00","752.00","768.50","752.00","14.14K","1.06%"
