"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","27.03","27.10","27.43","27.00","137.04K","0.11%"
"07/29/2024","27.00","27.82","27.94","26.92","153.82K","-1.32%"
"07/26/2024","27.36","27.69","27.86","27.18","178.52K","-0.07%"
"07/25/2024","27.38","27.39","27.46","26.87","269.15K","-0.04%"
"07/24/2024","27.39","28.00","28.20","27.32","367.49K","-1.86%"
"07/23/2024","27.91","29.00","29.29","27.90","369.70K","-3.86%"
"07/22/2024","29.03","29.13","29.45","28.86","194.51K","0.76%"
"07/19/2024","28.81","29.20","29.50","28.62","237.82K","-1.27%"
"07/18/2024","29.18","27.98","29.18","27.71","443.31K","5.34%"
"07/17/2024","27.70","28.00","28.30","27.31","220.03K","-0.29%"
"07/16/2024","27.78","28.20","28.38","27.75","193.02K","-1.31%"
"07/15/2024","28.15","28.10","28.50","27.80","349.13K","0.54%"
"07/12/2024","28.00","28.10","28.21","27.31","672.47K","-0.28%"
"07/11/2024","28.08","29.41","29.44","27.94","680.35K","-4.00%"
"07/10/2024","29.25","29.40","29.46","29.21","168.88K","-0.78%"
"07/09/2024","29.48","30.08","30.08","29.22","333.94K","-1.80%"
"07/08/2024","30.02","30.50","30.56","29.75","254.93K","-0.99%"
"07/05/2024","30.32","30.55","30.62","30.28","198.13K","-0.69%"
"07/04/2024","30.53","31.30","31.50","30.40","316.28K","-1.80%"
"07/03/2024","31.09","30.76","31.30","30.60","409.97K","2.71%"
"07/02/2024","30.27","30.50","31.12","29.92","780.88K","1.58%"
"07/01/2024","29.80","29.74","30.34","29.74","423.19K","0.68%"
"06/28/2024","29.60","29.55","29.60","29.32","116.20K","0.78%"
"06/27/2024","29.37","29.85","29.90","29.17","190.41K","-1.54%"
"06/26/2024","29.83","29.60","29.96","29.49","162.33K","0.78%"
"06/25/2024","29.60","30.00","30.09","29.59","239.97K","-0.70%"
"06/24/2024","29.81","29.96","30.07","29.35","260.71K","0.17%"
"06/21/2024","29.76","29.58","30.15","29.20","626.38K","0.98%"
"06/20/2024","29.47","30.07","30.60","29.15","456.69K","-2.00%"
"06/19/2024","30.07","28.60","30.55","28.60","873.09K","4.34%"
"06/18/2024","28.82","30.49","30.90","28.82","843.87K","-4.79%"
"06/17/2024","30.27","29.35","30.42","29.20","734.65K","4.02%"
"06/14/2024","29.10","28.48","29.40","27.90","759.89K","2.75%"
"06/13/2024","28.32","27.17","29.17","27.04","1.19M","4.31%"
"06/12/2024","27.15","26.85","27.19","26.50","283.48K","1.31%"
"06/11/2024","26.80","27.28","27.45","26.51","623.82K","0.00%"
"06/10/2024","26.80","25.20","26.80","25.05","1.02M","6.43%"
"06/07/2024","25.18","26.71","26.71","25.08","1.55M","-4.98%"
