"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","14,920","15,260","15,390","14,920","3.78K","-2.16%"
"07/29/2024","15,250","15,740","15,740","15,170","1.82K","-1.93%"
"07/26/2024","15,550","15,710","15,770","15,420","3.12K","-1.58%"
"07/25/2024","15,800","15,690","15,910","15,320","5.28K","-1.13%"
"07/24/2024","15,980","16,160","16,280","15,880","2.98K","-1.90%"
"07/23/2024","16,290","16,530","16,670","16,220","3.03K","-1.75%"
"07/22/2024","16,580","16,490","16,760","16,490","0.98K","1.16%"
"07/19/2024","16,390","16,600","16,610","16,380","0.22K","-1.86%"
"07/18/2024","16,700","16,400","16,810","16,160","3.86K","1.83%"
"07/17/2024","16,400","16,700","16,840","16,020","5.30K","-1.80%"
"07/16/2024","16,700","17,320","17,320","16,700","4.61K","-3.80%"
"07/15/2024","17,360","17,500","17,500","17,130","2.09K","-0.69%"
"07/12/2024","17,480","17,070","17,490","16,960","3.51K","2.70%"
"07/11/2024","17,020","16,990","17,060","16,740","2.30K","0.95%"
"07/10/2024","16,860","17,030","17,030","16,750","2.43K","-1.17%"
"07/09/2024","17,060","16,900","17,070","16,800","2.09K","0.77%"
"07/08/2024","16,930","16,810","16,950","16,710","1.12K","0.71%"
"07/05/2024","16,810","17,060","17,130","16,670","0.93K","-1.00%"
"07/04/2024","16,980","16,690","16,980","16,670","1.23K","2.85%"
"07/03/2024","16,510","16,700","16,870","16,430","3.03K","-1.14%"
"07/02/2024","16,700","16,960","17,070","16,570","2.74K","-1.47%"
"07/01/2024","16,950","17,110","17,350","16,940","3.20K","-0.82%"
"06/28/2024","17,090","17,250","17,250","16,960","2.79K","-0.29%"
"06/27/2024","17,140","16,920","17,250","16,920","1.91K","0.53%"
"06/26/2024","17,050","16,980","17,180","16,810","2.88K","1.01%"
"06/25/2024","16,880","17,160","17,260","16,840","2.43K","-1.34%"
"06/24/2024","17,110","16,810","17,310","16,800","2.33K","1.36%"
"06/21/2024","16,880","17,020","17,090","16,670","7.83K","-0.65%"
"06/20/2024","16,990","17,110","17,120","16,870","1.85K","-0.70%"
"06/19/2024","17,110","17,060","17,420","17,050","2.57K","0.06%"
"06/18/2024","17,100","17,290","17,590","16,980","4.17K","-0.70%"
"06/17/2024","17,220","16,810","17,280","16,720","2.29K","3.24%"
"06/14/2024","16,680","17,020","17,050","16,540","4.87K","-0.77%"
"06/13/2024","16,810","17,540","17,550","16,570","5.85K","-5.35%"
"06/12/2024","17,760","17,340","17,850","17,340","3.19K","2.42%"
"06/11/2024","17,340","17,310","17,540","17,190","2.90K","-0.34%"
"06/10/2024","17,400","17,490","17,510","17,260","2.22K","-0.17%"
"06/07/2024","17,430","17,890","17,890","17,300","2.75K","-2.08%"
"06/06/2024","17,800","17,400","17,860","17,250","2.91K","2.36%"
"06/05/2024","17,390","17,200","17,430","17,060","1.40K","1.28%"
"06/04/2024","17,170","17,200","17,370","17,140","1.44K","-0.64%"
"06/03/2024","17,280","17,400","17,500","17,240","1.37K","-0.35%"
"05/31/2024","17,340","17,130","17,500","16,820","6.39K","0.93%"
"05/29/2024","17,180","17,130","17,270","16,950","1.27K","0.23%"
"05/28/2024","17,140","17,270","17,480","16,980","1.82K","0.12%"
"05/27/2024","17,120","17,430","17,540","17,120","1.22K","-1.61%"
"05/24/2024","17,400","17,070","17,440","16,810","1.79K","1.64%"
"05/23/2024","17,120","17,240","17,390","17,070","1.66K","-0.87%"
"05/22/2024","17,270","17,400","17,400","16,950","2.55K","-0.75%"
"05/21/2024","17,400","17,450","17,450","17,150","2.59K","-0.29%"
"05/20/2024","17,450","17,680","17,850","17,410","3.00K","-1.52%"
"05/17/2024","17,720","17,550","17,750","17,410","2.82K","0.74%"
"05/16/2024","17,590","17,850","17,970","17,460","0.11K","-1.18%"
"05/15/2024","17,800","17,430","17,860","17,420","3.30K","2.30%"
"05/14/2024","17,400","17,300","17,400","17,050","2.23K","0.81%"
"05/13/2024","17,260","17,000","17,370","16,860","1.60K","1.77%"
"05/10/2024","16,960","17,370","17,370","16,930","3.49K","-1.34%"
"05/09/2024","17,190","16,650","17,190","16,650","4.07K","3.49%"
"05/08/2024","16,610","16,500","16,620","16,420","2.94K","1.59%"
"05/07/2024","16,350","16,400","16,620","16,210","2.64K","-1.09%"
"05/06/2024","16,530","15,880","16,550","15,800","5.87K","5.29%"
"05/02/2024","15,700","15,760","15,880","15,620","2.30K","-0.19%"
"04/30/2024","15,730","15,830","16,040","15,610","3.07K","-0.69%"
"04/29/2024","15,840","15,410","15,860","15,410","3.45K","1.86%"
"04/26/2024","15,550","15,200","15,640","15,200","2.92K","3.32%"
"04/25/2024","15,050","15,310","15,400","14,820","4.30K","-1.05%"
"04/24/2024","15,210","15,400","15,560","15,210","4.24K","-0.91%"
"04/23/2024","15,350","16,040","16,100","15,340","4.34K","-3.88%"
"04/22/2024","15,970","15,430","15,970","15,430","3.78K","4.24%"
"04/19/2024","15,320","15,400","15,500","15,260","2.80K","-1.73%"
"04/18/2024","15,590","15,230","15,600","15,120","3.53K","2.77%"
"04/17/2024","15,170","15,420","15,540","15,090","3.60K","-0.39%"
"04/16/2024","15,230","15,690","15,830","15,080","4.47K","-3.79%"
"04/15/2024","15,830","16,100","16,160","15,750","3.46K","-0.57%"
"04/12/2024","15,920","15,820","16,270","15,820","4.51K","0.82%"
"04/11/2024","15,790","15,750","15,800","15,480","2.76K","1.22%"
"04/10/2024","15,600","15,270","15,760","15,200","5.70K","3.24%"
"04/09/2024","15,110","15,400","15,530","15,070","3.19K","-1.50%"
"04/08/2024","15,340","15,200","15,400","15,060","3.80K","2.54%"
"04/05/2024","14,960","15,030","15,040","14,770","4.77K","-1.58%"
"04/04/2024","15,200","14,920","15,260","14,640","5.46K","1.54%"
"04/03/2024","14,970","15,250","15,470","14,950","5.46K","-1.38%"
"04/02/2024","15,180","15,500","15,740","15,180","4.34K","-1.43%"
"03/28/2024","15,400","15,300","15,860","15,160","8.04K","2.19%"
"03/27/2024","15,070","14,380","15,250","14,180","10.92K","6.88%"
"03/26/2024","14,100","13,850","14,450","13,800","9.78K","3.22%"
"03/25/2024","13,660","14,000","14,000","13,540","6.53K","-1.59%"
"03/22/2024","13,880","14,200","14,530","13,820","9.32K","-1.84%"
"03/21/2024","14,140","14,160","14,230","13,810","9.28K","2.99%"
"03/20/2024","13,730","13,510","14,150","13,510","11.92K","2.08%"
"03/19/2024","13,450","14,170","14,370","13,100","20.99K","-2.54%"
"03/18/2024","13,800","12,400","15,530","11,810","76.80K","20.52%"
"03/15/2024","11,450","14,300","15,000","10,910","96.51K","-35.78%"
"03/14/2024","17,830","17,960","18,090","17,470","8.20K","-1.11%"
"03/13/2024","18,030","18,000","18,200","17,760","5.76K","0.17%"
"03/12/2024","18,000","17,740","18,040","17,510","7.37K","1.81%"
"03/11/2024","17,680","17,500","17,940","17,430","3.12K","0.11%"
"03/08/2024","17,660","17,700","17,800","17,210","4.92K","0.46%"
"03/07/2024","17,580","17,350","17,780","17,250","5.16K","-0.11%"
"03/06/2024","17,600","17,550","17,810","17,350","5.34K","-1.07%"
"03/05/2024","17,790","17,700","17,950","17,550","3.60K","-0.50%"
"03/04/2024","17,880","18,150","18,330","17,790","7.89K","-0.17%"
"03/01/2024","17,910","18,120","18,200","17,660","4.16K","-0.17%"
"02/29/2024","17,940","18,480","18,550","17,810","4.93K","-1.59%"
"02/28/2024","18,230","18,800","18,800","17,890","6.67K","-3.08%"
"02/27/2024","18,810","18,950","18,950","18,520","4.76K","-0.48%"
"02/26/2024","18,900","18,150","18,920","18,050","10.61K","3.85%"
"02/23/2024","18,200","18,160","18,500","18,090","5.96K","0.44%"
"02/22/2024","18,120","17,330","18,220","17,300","10.76K","6.84%"
"02/21/2024","16,960","17,250","17,470","16,860","4.26K","-0.99%"
"02/20/2024","17,130","16,800","17,270","16,650","5.04K","1.06%"
"02/19/2024","16,950","16,200","16,980","16,160","10.41K","4.76%"
"02/16/2024","16,180","15,900","16,280","15,900","2.35K","2.02%"
"02/15/2024","15,860","15,850","15,880","15,700","2.28K","0.89%"
"02/14/2024","15,720","15,960","16,090","15,540","3.80K","-1.75%"
"02/13/2024","16,000","16,350","16,360","15,770","1.25K","-2.14%"
"02/12/2024","16,350","16,150","16,470","15,950","2.15K","1.81%"
"02/09/2024","16,060","16,190","16,310","15,920","1.94K","-0.31%"
"02/08/2024","16,110","16,300","16,470","15,960","10.54K","-0.74%"
"02/07/2024","16,230","15,850","16,380","15,800","10.86K","2.98%"
"02/06/2024","15,760","15,500","15,930","15,290","6.43K","1.42%"
"02/05/2024","15,540","16,010","16,120","15,400","5.26K","-2.94%"
"02/02/2024","16,010","15,750","16,250","15,710","6.12K","1.46%"
"02/01/2024","15,780","15,410","15,960","15,300","6.25K","1.35%"
"01/31/2024","15,570","15,330","15,680","15,220","9.24K","0.65%"
"01/30/2024","15,470","14,800","15,480","14,800","5.55K","4.53%"
"01/29/2024","14,800","14,990","15,180","14,600","4.72K","-1.27%"
"01/26/2024","14,990","14,910","15,180","14,850","9.33K","-0.07%"
"01/25/2024","15,000","15,130","15,240","14,940","7.91K","-0.86%"
"01/24/2024","15,130","15,150","15,470","15,020","8.56K","0.40%"
"01/23/2024","15,070","15,350","15,390","15,020","6.25K","-1.25%"
"01/22/2024","15,260","15,360","15,450","15,220","4.65K","0.33%"
"01/19/2024","15,210","15,290","15,500","15,190","3.97K","0.66%"
"01/18/2024","15,110","15,320","15,640","15,020","3.59K","-0.33%"
"01/17/2024","15,160","15,120","15,290","15,010","5.69K","-1.43%"
"01/16/2024","15,380","15,110","15,600","15,110","2.57K","-0.77%"
"01/15/2024","15,500","16,060","16,200","15,450","2.19K","-3.49%"
"01/12/2024","16,060","16,000","16,440","15,950","7.20K","0.38%"
"01/11/2024","16,000","15,930","16,340","15,820","5.50K","0.88%"
"01/10/2024","15,860","15,600","15,940","15,410","7.15K","2.99%"
"01/09/2024","15,400","15,150","15,470","15,090","13.28K","2.67%"
