"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","7.84","7.79","8.00","7.79","1.21M","0.38%"
"07/29/2024","7.81","7.94","7.94","7.78","600.86K","-0.38%"
"07/26/2024","7.84","7.83","7.94","7.77","775.98K","0.51%"
"07/25/2024","7.80","7.74","7.87","7.60","1.09M","1.17%"
"07/24/2024","7.71","7.68","7.76","7.55","1.91M","0.00%"
"07/23/2024","7.71","7.91","7.91","7.68","755.02K","-1.91%"
"07/22/2024","7.86","7.84","7.93","7.81","469.55K","0.64%"
"07/19/2024","7.81","7.85","7.93","7.79","715.37K","-0.26%"
"07/18/2024","7.83","7.65","7.87","7.62","3.09M","1.56%"
"07/17/2024","7.71","7.78","7.80","7.60","1.11M","-0.90%"
"07/16/2024","7.78","7.96","7.96","7.75","999.53K","-1.77%"
"07/15/2024","7.92","8.03","8.04","7.85","1.04M","-1.37%"
"07/12/2024","8.03","7.91","8.07","7.90","1.37M","1.26%"
"07/11/2024","7.93","7.87","7.97","7.83","1.81M","1.41%"
"07/10/2024","7.82","7.86","7.87","7.80","573.74K","-0.64%"
"07/09/2024","7.87","7.93","7.98","7.83","1.39M","-0.63%"
"07/08/2024","7.92","7.97","8.00","7.85","1.33M","-0.63%"
"07/05/2024","7.97","7.95","8.04","7.92","773.19K","0.25%"
"07/04/2024","7.95","7.91","8.05","7.91","560.82K","0.25%"
"07/03/2024","7.93","7.98","8.09","7.91","738.43K","0.13%"
"07/02/2024","7.92","8.09","8.09","7.89","1.06M","-2.22%"
"07/01/2024","8.10","7.86","8.10","7.83","2.48M","4.11%"
"06/28/2024","7.78","7.74","7.84","7.74","1.13M","0.26%"
"06/27/2024","7.76","7.89","7.99","7.73","1.37M","-1.77%"
"06/26/2024","7.90","7.80","7.92","7.70","8.61M","3.27%"
"06/25/2024","7.65","7.83","7.96","7.63","2.05M","-7.94%"
"06/24/2024","8.31","8.20","8.33","8.13","1.18M","1.59%"
"06/21/2024","8.18","8.05","8.26","8.05","3.22M","1.61%"
"06/20/2024","8.05","8.10","8.16","8.02","1.72M","-0.12%"
"06/19/2024","8.06","8.00","8.09","7.99","540.50K","1.00%"
"06/18/2024","7.98","8.13","8.20","7.95","699.21K","-1.60%"
"06/17/2024","8.11","8.03","8.16","8.01","879.30K","1.37%"
"06/14/2024","8.00","7.90","8.02","7.84","1.05M","1.01%"
"06/13/2024","7.92","8.15","8.15","7.87","602.88K","-2.46%"
"06/12/2024","8.12","7.93","8.14","7.80","859.26K","2.27%"
"06/11/2024","7.94","8.10","8.10","7.90","607.79K","-1.37%"
"06/10/2024","8.05","8.19","8.19","7.97","711.08K","-1.71%"
"06/07/2024","8.19","8.32","8.32","8.10","569.49K","-1.21%"
"06/06/2024","8.29","8.37","8.37","8.24","433.65K","0.12%"
"06/05/2024","8.28","8.33","8.35","8.24","418.91K","0.12%"
"06/04/2024","8.27","8.34","8.35","8.20","699.79K","-0.48%"
