"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","63.22","64.30","64.59","63.22","937.58K","-1.66%"
"07/29/2024","64.29","64.50","64.79","63.90","748.40K","0.85%"
"07/26/2024","63.75","64.00","64.32","63.58","831.52K","-0.14%"
"07/25/2024","63.84","63.00","63.84","62.80","1.98M","1.17%"
"07/24/2024","63.10","63.50","63.94","63.10","1.70M","-1.38%"
"07/23/2024","63.98","64.51","64.67","63.26","2.08M","-0.82%"
"07/22/2024","64.51","65.22","65.49","64.34","997.86K","-1.03%"
"07/19/2024","65.18","65.00","65.47","64.47","803.44K","0.02%"
"07/18/2024","65.17","65.00","65.66","64.31","1.71M","0.82%"
"07/17/2024","64.64","65.10","65.40","63.64","2.45M","-0.55%"
"07/16/2024","65.00","67.22","67.22","64.63","2.43M","-3.30%"
"07/15/2024","67.22","67.20","67.30","66.52","990.39K","-0.15%"
"07/12/2024","67.32","66.92","67.70","66.41","975.20K","0.60%"
"07/11/2024","66.92","66.00","66.99","65.74","1.64M","1.70%"
"07/10/2024","65.80","66.88","66.99","65.80","1.71M","-1.61%"
"07/09/2024","66.88","67.40","67.40","66.39","2.05M","-0.95%"
"07/08/2024","67.52","67.93","68.00","67.00","1.15M","-0.32%"
"07/05/2024","67.74","68.75","69.00","67.12","1.03M","-1.95%"
"07/04/2024","69.09","68.90","69.17","68.53","1.06M","0.41%"
"07/03/2024","68.81","68.50","69.05","68.24","1.46M","0.88%"
"07/02/2024","68.21","67.89","68.29","67.07","1.11M","0.47%"
"07/01/2024","67.89","67.50","68.63","67.42","1.99M","0.30%"
"06/28/2024","67.69","67.70","68.08","67.43","2.33M","0.09%"
"06/27/2024","67.63","67.27","67.78","67.13","1.45M","0.54%"
"06/26/2024","67.27","67.70","68.30","67.14","3.28M","-0.61%"
"06/25/2024","67.68","67.18","68.10","66.88","2.48M","0.74%"
"06/24/2024","67.18","65.48","67.45","65.46","2.69M","2.60%"
"06/21/2024","65.48","65.90","66.20","65.20","5.65M","-0.41%"
"06/20/2024","65.75","65.65","66.17","65.12","1.61M","0.15%"
"06/19/2024","65.65","64.50","65.80","64.50","1.34M","1.99%"
"06/18/2024","64.37","64.63","65.08","64.22","1.99M","-0.17%"
"06/17/2024","64.48","63.46","64.70","63.22","1.40M","1.62%"
"06/14/2024","63.45","62.25","63.50","62.25","1.83M","1.93%"
"06/13/2024","62.25","62.46","62.90","61.97","1.52M","-0.34%"
"06/12/2024","62.46","62.45","63.05","61.70","2.08M","0.29%"
"06/11/2024","62.28","63.31","63.68","62.28","1.79M","-1.61%"
"06/10/2024","63.30","63.10","63.42","62.41","1.23M","0.33%"
"06/07/2024","63.09","63.75","64.05","62.97","1.19M","-0.93%"
"06/06/2024","63.68","63.37","63.68","62.77","1.01M","1.66%"
"06/05/2024","62.64","62.80","63.21","62.43","2.21M","0.05%"
"06/04/2024","62.61","63.93","63.94","62.61","2.49M","-2.06%"
"06/03/2024","63.93","64.26","64.82","63.74","1.36M","0.57%"
"05/31/2024","63.57","63.50","64.66","63.31","4.73M","0.51%"
"05/29/2024","63.25","64.94","65.33","62.81","3.18M","-2.59%"
"05/28/2024","64.93","66.00","66.35","64.65","2.31M","-1.25%"
"05/27/2024","65.75","65.47","67.08","65.45","1.75M","0.86%"
"05/24/2024","65.19","66.70","67.00","64.92","4.22M","-2.60%"
"05/23/2024","66.93","71.40","71.40","66.50","6.63M","-7.85%"
"05/22/2024","72.63","72.90","73.43","72.46","1.44M","-0.41%"
"05/21/2024","72.93","72.28","73.59","71.80","2.53M","0.59%"
"05/20/2024","72.50","70.70","72.78","70.68","2.82M","2.57%"
"05/17/2024","70.68","69.50","70.68","69.00","1.89M","1.74%"
"05/16/2024","69.47","69.30","69.59","68.68","1.18M","0.55%"
"05/15/2024","69.09","69.20","69.90","68.30","1.33M","0.04%"
"05/14/2024","69.06","68.50","69.64","68.13","1.27M","0.85%"
"05/13/2024","68.48","68.44","68.81","67.93","821.25K","0.20%"
"05/10/2024","68.34","67.84","68.92","67.81","1.96M","1.12%"
"05/09/2024","67.58","67.88","68.64","67.34","1.08M","-0.40%"
"05/08/2024","67.85","67.32","67.85","66.71","1.18M","0.79%"
"05/07/2024","67.32","67.94","68.68","67.28","1.09M","-0.80%"
"05/06/2024","67.86","66.50","68.07","66.15","1.30M","2.62%"
"05/02/2024","66.13","66.44","66.44","65.36","1.21M","-0.47%"
"04/30/2024","66.44","68.13","68.18","66.44","1.45M","-2.47%"
"04/29/2024","68.12","67.32","68.15","66.60","932.05K","1.19%"
"04/26/2024","67.32","67.10","67.81","67.10","644.88K","0.93%"
"04/25/2024","66.70","67.08","67.72","66.42","1.09M","-0.30%"
