"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","19.34","19.12","19.62","19.12","905.17K","1.52%"
"07/29/2024","19.05","18.89","19.16","18.77","796.69K","1.74%"
"07/26/2024","18.73","18.50","18.88","18.39","911.32K","1.38%"
"07/25/2024","18.47","18.40","18.50","18.00","1.40M","-0.16%"
"07/24/2024","18.50","18.70","18.90","18.47","905.53K","-1.25%"
"07/23/2024","18.74","19.77","19.87","18.74","1.23M","-4.58%"
"07/22/2024","19.64","19.49","19.88","19.20","660.03K","1.47%"
"07/19/2024","19.35","19.40","19.61","19.18","608.42K","-1.53%"
"07/18/2024","19.65","19.15","19.73","18.96","1.13M","3.29%"
"07/17/2024","19.02","19.58","19.59","18.80","2.69M","-3.67%"
"07/16/2024","19.75","20.00","20.04","19.33","1.70M","-1.25%"
"07/15/2024","20.00","20.51","20.67","19.83","1.05M","-2.49%"
"07/12/2024","20.51","20.70","20.77","20.22","1.03M","-0.24%"
"07/11/2024","20.56","20.60","20.96","19.52","1.96M","1.68%"
"07/10/2024","20.22","20.75","20.75","20.10","821.84K","-0.83%"
"07/09/2024","20.39","21.08","21.08","20.31","1.08M","-2.67%"
"07/08/2024","20.95","20.93","21.11","20.27","858.90K","0.87%"
"07/05/2024","20.77","21.20","21.51","20.71","1.02M","-1.52%"
"07/04/2024","21.09","20.87","21.12","20.57","592.91K","1.10%"
"07/03/2024","20.86","20.72","21.17","20.46","682.25K","1.31%"
"07/02/2024","20.59","20.85","20.91","20.41","989.14K","-1.48%"
"07/01/2024","20.90","21.09","21.33","20.85","649.65K","-0.29%"
"06/28/2024","20.96","21.47","21.54","20.86","1.69M","-1.73%"
"06/27/2024","21.33","21.78","21.81","21.13","1.51M","-1.80%"
"06/26/2024","21.72","22.20","22.50","21.71","1.10M","-2.38%"
"06/25/2024","22.25","22.32","22.75","22.12","1.07M","-0.45%"
"06/24/2024","22.35","22.19","22.51","22.06","712.37K","1.50%"
"06/21/2024","22.02","21.70","22.20","21.47","1.70M","1.85%"
"06/20/2024","21.62","21.64","22.05","21.40","899.45K","0.00%"
"06/19/2024","21.62","22.10","22.27","21.56","1.00M","-1.55%"
"06/18/2024","21.96","23.50","23.68","21.95","1.86M","-6.11%"
"06/17/2024","23.39","23.01","23.48","22.92","631.05K","1.26%"
"06/14/2024","23.10","23.25","23.44","22.71","1.01M","-0.60%"
"06/13/2024","23.24","24.13","24.33","23.24","798.74K","-3.69%"
"06/12/2024","24.13","24.11","24.42","23.72","1.04M","0.75%"
"06/11/2024","23.95","23.90","24.05","23.50","493.60K","0.55%"
"06/10/2024","23.82","23.99","23.99","23.24","599.72K","0.08%"
"06/07/2024","23.80","24.07","24.10","23.51","971.42K","-1.04%"
"06/06/2024","24.05","23.40","24.08","23.40","993.22K","3.40%"
"06/05/2024","23.26","23.80","23.96","23.24","1.07M","-2.10%"
"06/04/2024","23.76","24.70","24.84","23.60","1.23M","-3.41%"
"06/03/2024","24.60","24.58","25.30","24.42","1.86M","1.19%"
"05/31/2024","24.31","24.03","24.41","23.43","17.84M","-0.57%"
"05/29/2024","24.45","24.28","24.73","23.75","1.90M","-0.12%"
"05/28/2024","24.48","24.55","25.15","24.18","1.64M","-0.29%"
