"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","160.10","162.50","163.80","160.10","380.66K","-1.78%"
"07/29/2024","163.00","161.00","163.50","160.00","312.03K","1.46%"
"07/26/2024","160.65","160.90","163.20","159.00","349.12K","-0.16%"
"07/25/2024","160.90","158.15","161.70","157.55","475.29K","-0.83%"
"07/24/2024","162.25","162.85","164.70","161.10","340.78K","-0.52%"
"07/23/2024","163.10","166.45","166.65","161.70","327.88K","-2.04%"
"07/22/2024","166.50","163.60","167.00","163.60","17.93K","1.77%"
"07/19/2024","163.60","163.10","164.70","161.15","747.09K","-0.40%"
"07/18/2024","164.25","162.05","165.40","160.15","525.32K","1.39%"
"07/17/2024","162.00","165.50","166.90","160.05","709.03K","-2.00%"
"07/16/2024","165.30","170.95","171.60","165.15","571.45K","-3.84%"
"07/15/2024","171.90","170.20","171.90","169.45","380.72K","1.00%"
"07/12/2024","170.20","169.20","170.90","168.25","596.61K","0.15%"
"07/11/2024","169.95","167.55","170.15","167.55","416.89K","1.49%"
"07/10/2024","167.45","168.20","169.60","166.95","592.82K","-0.45%"
"07/09/2024","168.20","168.55","168.85","167.25","324.22K","-0.21%"
"07/08/2024","168.55","166.65","168.90","166.00","235.70K","1.57%"
"07/05/2024","165.95","168.00","169.15","165.40","222.59K","-1.10%"
"07/04/2024","167.80","167.75","169.10","166.95","198.24K","0.03%"
"07/03/2024","167.75","170.00","171.90","166.95","447.15K","-0.83%"
"07/02/2024","169.15","168.55","169.50","167.30","503.86K","0.30%"
"07/01/2024","168.65","168.50","170.00","167.75","482.49K","0.39%"
"06/28/2024","168.00","165.35","169.00","165.00","577.67K","1.82%"
"06/27/2024","165.00","163.00","166.20","162.60","406.70K","1.38%"
"06/26/2024","162.75","165.40","166.30","162.15","511.99K","-1.21%"
"06/25/2024","164.75","164.00","167.35","162.50","769.54K","0.30%"
"06/24/2024","164.25","161.60","164.95","160.80","459.52K","1.26%"
"06/21/2024","162.20","163.00","164.00","161.45","1.28M","-0.52%"
"06/20/2024","163.05","162.25","166.70","161.15","763.54K","0.49%"
"06/19/2024","162.25","158.10","163.20","157.30","650.59K","2.62%"
"06/18/2024","158.10","158.60","162.40","157.65","562.94K","0.06%"
"06/17/2024","158.00","155.75","158.40","154.75","536.84K","1.44%"
"06/14/2024","155.75","154.60","155.75","152.25","675.64K","0.78%"
"06/13/2024","154.55","159.00","161.40","154.50","654.83K","-3.07%"
"06/12/2024","159.45","154.55","159.95","153.85","924.89K","3.64%"
"06/11/2024","153.85","156.00","156.90","153.75","629.57K","-1.03%"
"06/10/2024","155.45","155.00","156.20","153.95","505.23K","0.10%"
"06/07/2024","155.30","159.85","159.95","154.35","723.78K","-2.94%"
"06/06/2024","160.00","158.55","160.60","156.00","778.31K","1.81%"
"06/05/2024","157.15","155.00","158.30","154.55","780.61K","1.72%"
"06/04/2024","154.50","160.00","160.00","153.00","770.79K","-3.38%"
"06/03/2024","159.90","162.70","163.70","158.85","525.62K","-0.06%"
"05/31/2024","160.00","157.60","162.65","157.00","1.91M","1.88%"
"05/29/2024","157.05","159.95","161.40","156.55","579.30K","-1.97%"
"05/28/2024","160.20","162.00","163.20","158.45","438.50K","-0.65%"
"05/27/2024","161.25","159.40","161.75","159.15","361.85K","1.64%"
"05/24/2024","158.65","160.00","160.95","156.50","336.76K","-2.01%"
"05/23/2024","161.90","155.90","163.45","155.20","602.77K","3.82%"
"05/22/2024","155.95","156.00","157.35","154.20","767.20K","-0.10%"
"05/21/2024","156.10","161.00","161.70","155.45","1.05M","-3.52%"
"05/20/2024","161.80","161.00","162.70","159.80","669.26K","0.06%"
"05/17/2024","161.70","164.10","164.15","159.00","1.22M","-1.49%"
"05/16/2024","164.15","168.50","169.60","163.15","1.04M","-2.58%"
"05/15/2024","168.50","166.00","168.50","164.90","603.61K","1.14%"
"05/14/2024","166.60","166.90","167.95","163.25","561.46K","-0.18%"
"05/13/2024","166.90","165.00","167.65","163.50","506.56K","1.27%"
"05/10/2024","164.80","171.65","172.30","164.60","817.32K","-3.93%"
"05/09/2024","171.55","172.00","173.85","170.80","473.16K","-0.26%"
"05/08/2024","172.00","171.05","172.65","168.95","415.88K","0.12%"
"05/07/2024","171.80","171.95","174.65","170.25","701.88K","-0.12%"
"05/06/2024","172.00","169.00","172.50","167.35","569.83K","2.75%"
"05/02/2024","167.40","171.20","171.40","166.50","496.80K","-0.95%"
