"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","58.40","59.52","59.78","58.26","1.47M","-1.62%"
"07/29/2024","59.36","59.36","60.16","58.96","1.35M","0.37%"
"07/26/2024","59.14","59.02","59.88","58.80","903.32K","-0.10%"
"07/25/2024","59.20","58.44","59.28","58.24","1.57M","-0.13%"
"07/24/2024","59.28","58.80","60.02","58.68","1.44M","-0.20%"
"07/23/2024","59.40","60.52","60.68","58.94","1.23M","-2.30%"
"07/22/2024","60.80","60.50","61.04","60.14","1.92M","1.06%"
"07/19/2024","60.16","61.00","61.10","59.02","2.68M","-1.38%"
"07/18/2024","61.00","59.74","61.06","59.12","3.32M","3.60%"
"07/17/2024","58.88","59.62","60.28","58.16","2.07M","-1.34%"
"07/16/2024","59.68","60.82","61.24","59.64","2.84M","-2.45%"
"07/15/2024","61.18","61.02","61.50","60.58","1.67M","-0.16%"
"07/12/2024","61.28","61.48","61.48","60.92","1.75M","-0.13%"
"07/11/2024","61.36","61.54","61.92","61.06","2.18M","-0.10%"
"07/10/2024","61.42","61.70","62.12","61.24","125.00K","-0.45%"
"07/09/2024","61.70","61.70","62.08","61.20","2.42M","0.39%"
"07/08/2024","61.46","60.92","61.80","60.72","907.25K","0.69%"
"07/05/2024","61.04","62.00","62.04","60.92","1.00M","-1.33%"
"07/04/2024","61.86","62.30","62.30","61.44","1.21M","0.26%"
"07/03/2024","61.70","62.28","62.80","61.52","1.71M","-0.23%"
"07/02/2024","61.84","62.40","62.50","61.42","1.14M","-1.18%"
"07/01/2024","62.58","62.92","63.54","62.44","1.17M","-0.54%"
"06/28/2024","62.92","62.56","63.44","62.38","4.46M","0.45%"
"06/27/2024","62.64","62.48","62.80","62.12","1.92M","0.61%"
"06/26/2024","62.26","62.60","62.88","61.98","1.80M","-0.42%"
"06/25/2024","62.52","61.46","62.86","61.10","3.33M","1.69%"
"06/24/2024","61.48","60.60","61.78","60.06","1.32M","1.45%"
"06/21/2024","60.60","61.36","61.80","60.32","4.11M","-1.14%"
"06/20/2024","61.30","61.00","62.30","60.68","2.16M","1.32%"
"06/19/2024","60.50","59.20","60.92","58.40","2.60M","2.13%"
"06/18/2024","59.24","58.94","60.46","58.90","3.57M","1.13%"
"06/17/2024","58.58","57.38","58.68","56.96","2.41M","2.23%"
"06/14/2024","57.30","56.70","57.40","56.68","5.38M","1.09%"
"06/13/2024","56.68","57.10","57.50","56.58","1.92M","-1.15%"
"06/12/2024","57.34","56.36","57.94","56.30","2.15M","2.06%"
"06/11/2024","56.18","56.70","57.18","55.78","1.75M","-0.64%"
"06/10/2024","56.54","56.94","56.94","55.98","1.35M","-0.70%"
"06/07/2024","56.94","57.90","57.92","56.36","1.63M","-1.35%"
"06/06/2024","57.72","57.42","57.92","57.00","1.49M","1.23%"
"06/05/2024","57.02","56.40","57.30","56.22","1.70M","1.50%"
"06/04/2024","56.18","59.20","59.20","55.88","2.96M","-4.78%"
"06/03/2024","59.00","59.98","60.28","58.92","1.54M","-0.61%"
"05/31/2024","59.36","58.02","60.16","57.76","6.12M","3.31%"
"05/29/2024","57.46","57.86","58.20","57.34","2.56M","-0.83%"
"05/28/2024","57.94","58.50","58.66","57.54","1.96M","-0.62%"
"05/27/2024","58.30","58.02","58.58","57.98","1.34M","0.48%"
"05/24/2024","58.02","57.88","58.14","57.28","1.83M","-0.55%"
"05/23/2024","58.34","57.18","59.04","57.04","2.26M","2.35%"
"05/22/2024","57.00","57.14","57.14","56.44","2.14M","-0.25%"
"05/21/2024","57.14","57.18","57.18","56.60","2.18M","-0.10%"
"05/20/2024","57.20","57.16","57.64","56.94","3.01M","0.25%"
"05/17/2024","57.06","57.14","57.46","56.22","2.01M","-0.73%"
"05/16/2024","57.48","57.66","58.18","57.12","2.33M","-0.21%"
"05/15/2024","57.60","57.56","57.88","56.84","3.44M","-0.14%"
"05/14/2024","57.68","57.96","58.20","56.64","3.09M","-0.65%"
"05/13/2024","58.06","57.72","58.46","57.28","1.83M","0.87%"
"05/10/2024","57.56","61.20","61.26","57.56","3.68M","-5.05%"
"05/09/2024","60.62","61.20","61.76","60.54","1.92M","-0.26%"
"05/08/2024","60.78","60.40","60.92","60.00","2.46M","0.26%"
"05/07/2024","60.62","61.52","61.70","60.16","2.83M","-0.95%"
"05/06/2024","61.20","60.12","61.54","59.38","3.89M","1.90%"
"05/02/2024","60.06","61.02","61.54","59.62","2.24M","-1.05%"
"04/30/2024","60.70","61.90","61.90","60.42","2.72M","-1.33%"
"04/29/2024","61.52","61.62","62.20","60.32","2.16M","-0.29%"
"04/26/2024","61.70","62.30","62.72","61.42","3.00M","-0.48%"
"04/25/2024","62.00","62.36","62.78","61.64","4.12M","-0.99%"
"04/24/2024","62.62","62.50","62.92","61.98","3.20M","0.06%"
"04/23/2024","62.58","60.20","63.08","60.20","3.78M","4.09%"
"04/22/2024","60.12","59.32","60.44","59.32","2.34M","1.69%"
"04/19/2024","59.12","58.44","59.16","57.94","3.36M","0.48%"
"04/18/2024","58.84","58.12","58.90","57.52","2.95M","1.55%"
"04/17/2024","57.94","56.30","58.28","56.12","2.99M","3.72%"
"04/16/2024","55.86","57.40","57.72","55.62","4.48M","-3.99%"
"04/15/2024","58.18","57.80","58.74","57.80","1.25M","0.66%"
"04/12/2024","57.80","58.90","59.10","57.80","1.76M","-0.69%"
"04/11/2024","58.20","59.50","60.20","58.06","1.70M","-2.90%"
"04/10/2024","59.94","60.00","60.64","59.30","2.03M","1.25%"
"04/09/2024","59.20","61.06","61.12","59.02","2.70M","-3.01%"
"04/08/2024","61.04","60.02","61.52","59.80","3.02M","1.33%"
"04/05/2024","60.24","59.30","60.34","59.20","3.15M","0.40%"
"04/04/2024","60.00","59.48","60.10","58.92","2.30M","1.35%"
"04/03/2024","59.20","59.16","59.92","58.74","2.87M","0.34%"
"04/02/2024","59.00","59.34","60.14","58.94","3.09M","-0.57%"
"03/28/2024","59.34","58.30","59.66","58.30","2.05M","1.61%"
"03/27/2024","58.40","57.74","58.58","57.74","2.39M","0.34%"
"03/26/2024","58.20","57.08","58.40","56.62","2.75M","1.93%"
"03/25/2024","57.10","57.64","58.08","57.10","1.83M","-0.90%"
"03/22/2024","57.62","58.10","58.52","57.40","2.06M","-0.83%"
"03/21/2024","58.10","57.00","58.10","56.80","3.01M","3.38%"
"03/20/2024","56.20","55.94","56.32","54.90","2.22M","1.66%"
"03/19/2024","55.28","55.50","56.04","54.22","2.34M","-0.43%"
"03/18/2024","55.52","55.00","55.66","54.40","2.22M","0.36%"
"03/15/2024","55.32","55.94","57.04","54.02","10.83M","-1.74%"
"03/14/2024","56.30","56.02","56.62","55.58","2.58M","0.00%"
"03/13/2024","56.30","56.42","57.66","56.06","3.35M","-0.98%"
"03/12/2024","56.86","55.00","56.88","54.08","3.26M","3.38%"
"03/11/2024","55.00","53.00","55.06","52.82","2.14M","3.07%"
"03/08/2024","53.36","53.26","53.68","51.66","4.27M","-0.22%"
"03/07/2024","53.48","54.60","54.86","52.10","3.69M","-3.22%"
"03/06/2024","55.26","55.56","55.76","54.60","2.36M","0.11%"
"03/05/2024","55.20","56.00","56.30","55.10","2.09M","-2.16%"
"03/04/2024","56.42","56.44","56.86","56.14","2.35M","0.32%"
"03/01/2024","56.24","56.00","56.30","55.56","3.30M","1.22%"
"02/29/2024","55.56","54.42","56.10","54.42","4.30M","2.02%"
"02/28/2024","54.46","55.32","55.50","54.44","1.76M","-1.52%"
"02/27/2024","55.30","55.78","55.96","54.86","3.06M","-0.93%"
"02/26/2024","55.82","56.50","56.76","55.76","2.99M","-1.20%"
"02/23/2024","56.50","56.26","56.88","55.94","4.41M","0.71%"
"02/22/2024","56.10","55.70","56.66","55.66","3.51M","1.23%"
"02/21/2024","55.42","55.28","56.08","55.08","3.19M","0.25%"
"02/20/2024","55.28","54.20","55.44","53.66","4.49M","2.48%"
"02/19/2024","53.94","53.02","54.08","53.02","1.21M","0.19%"
"02/16/2024","53.84","53.00","54.46","53.00","1.84M","1.78%"
"02/15/2024","52.90","53.90","54.24","52.54","1.61M","-1.08%"
"02/14/2024","53.48","52.02","53.66","51.78","1.63M","2.81%"
"02/13/2024","52.02","52.00","52.80","51.58","1.71M","-0.54%"
"02/12/2024","52.30","52.20","52.64","51.42","1.78M","0.27%"
"02/09/2024","52.16","52.28","52.56","51.94","1.05M","-0.46%"
"02/08/2024","52.40","53.00","53.24","51.90","1.97M","-1.13%"
"02/07/2024","53.00","53.26","53.40","52.30","2.97M","0.11%"
"02/06/2024","52.94","53.34","54.10","52.68","4.27M","-0.49%"
"02/05/2024","53.20","53.54","54.16","53.06","4.65M","-0.64%"
"02/02/2024","53.54","51.90","53.56","51.84","4.78M","4.57%"
"02/01/2024","51.20","50.80","51.70","50.24","3.36M","0.39%"
"01/31/2024","51.00","49.92","51.00","49.80","4.05M","2.16%"
"01/30/2024","49.92","48.99","49.92","48.75","2.83M","2.51%"
"01/29/2024","48.70","49.26","49.34","48.62","2.48M","-1.14%"
"01/26/2024","49.26","48.59","49.34","48.27","4.34M","1.05%"
"01/25/2024","48.75","48.69","48.88","48.14","3.12M","0.06%"
"01/24/2024","48.72","48.78","48.94","48.38","3.54M","-1.81%"
"01/23/2024","49.62","50.00","50.10","49.26","3.04M","-0.66%"
"01/22/2024","49.95","49.98","50.44","49.60","4.63M","0.34%"
"01/19/2024","49.78","49.49","50.22","49.31","4.39M","0.57%"
"01/18/2024","49.50","48.65","49.51","48.65","2.12M","1.85%"
"01/17/2024","48.60","48.40","48.93","47.77","2.75M","-0.21%"
"01/16/2024","48.70","48.54","48.81","47.92","2.05M","-0.41%"
"01/15/2024","48.90","49.50","49.60","48.41","1.98M","-1.01%"
"01/12/2024","49.40","48.46","49.56","48.46","1.71M","1.96%"
"01/11/2024","48.45","49.90","49.98","48.36","2.27M","-2.16%"
"01/10/2024","49.52","50.44","50.50","49.35","1.95M","-2.13%"
"01/09/2024","50.60","50.38","50.62","49.07","4.79M","0.76%"
"01/08/2024","50.22","49.51","50.36","49.00","2.66M","0.97%"
"01/05/2024","49.74","49.21","49.89","48.02","3.50M","0.00%"
"01/04/2024","49.74","49.90","49.99","48.86","2.71M","-0.60%"
