"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","47.87","48.67","48.96","47.87","1.45M","-1.32%"
"07/29/2024","48.51","48.76","49.00","48.18","860.33K","0.43%"
"07/26/2024","48.30","48.29","48.70","47.96","714.18K","0.02%"
"07/25/2024","48.29","48.50","48.60","47.82","1.23M","-0.70%"
"07/24/2024","48.63","48.80","49.31","48.50","776.28K","-0.88%"
"07/23/2024","49.06","49.46","49.69","48.57","1.41M","0.00%"
"07/22/2024","49.06","49.20","49.48","48.75","749.83K","0.29%"
"07/19/2024","48.92","49.00","49.37","48.51","988.26K","-0.57%"
"07/18/2024","49.20","48.50","49.58","48.12","2.36M","2.05%"
"07/17/2024","48.21","48.80","49.10","47.76","1.85M","-1.21%"
"07/16/2024","48.80","50.68","50.74","48.80","1.75M","-4.28%"
"07/15/2024","50.98","50.20","50.98","49.95","605.50K","1.27%"
"07/12/2024","50.34","50.24","50.66","49.90","786.16K","0.08%"
"07/11/2024","50.30","49.60","50.30","49.60","945.26K","1.53%"
"07/10/2024","49.54","50.50","50.60","49.51","1.46M","-2.13%"
"07/09/2024","50.62","50.48","50.80","49.90","1.27M","0.36%"
"07/08/2024","50.44","49.98","50.70","49.58","921.27K","1.73%"
"07/05/2024","49.58","50.34","50.46","49.50","1.08M","-1.47%"
"07/04/2024","50.32","50.60","50.70","49.89","556.49K","0.32%"
"07/03/2024","50.16","50.22","50.58","49.84","1.61M","0.24%"
"07/02/2024","50.04","51.40","51.40","50.04","1.23M","-2.53%"
"07/01/2024","51.34","51.56","52.16","51.26","877.31K","-0.39%"
"06/28/2024","51.54","51.12","52.04","51.12","1.61M","0.98%"
"06/27/2024","51.04","50.84","51.86","50.68","1.18M","0.99%"
"06/26/2024","50.54","50.90","51.72","50.48","1.30M","-0.35%"
"06/25/2024","50.72","50.30","50.84","49.63","1.06M","1.24%"
"06/24/2024","50.10","49.48","50.36","49.47","938.80K","1.25%"
"06/21/2024","49.48","49.80","50.18","49.26","3.43M","-0.64%"
"06/20/2024","49.80","50.00","50.36","49.48","1.64M","0.06%"
"06/19/2024","49.77","50.00","50.50","49.54","1.39M","-0.06%"
"06/18/2024","49.80","49.55","50.68","49.42","2.56M","0.81%"
"06/17/2024","49.40","48.40","49.55","48.34","2.10M","2.19%"
"06/14/2024","48.34","47.86","48.38","47.74","1.80M","1.02%"
"06/13/2024","47.85","48.00","48.28","47.79","1.31M","-0.35%"
"06/12/2024","48.02","48.16","48.46","47.66","1.85M","-0.10%"
"06/11/2024","48.07","48.60","48.66","48.07","1.06M","-0.52%"
"06/10/2024","48.32","48.43","48.57","47.65","1.00M","-0.51%"
"06/07/2024","48.57","49.04","49.04","48.05","1.35M","-0.12%"
"06/06/2024","48.63","49.07","49.40","48.52","1.67M","-0.86%"
"06/05/2024","49.05","48.95","49.29","48.60","946.08K","0.70%"
"06/04/2024","48.71","50.06","50.16","48.71","1.34M","-2.25%"
"06/03/2024","49.83","50.50","50.80","49.83","1.44M","-0.34%"
"05/31/2024","50.00","49.63","50.74","49.55","7.77M","0.46%"
"05/29/2024","49.77","49.40","50.10","48.82","2.13M","0.34%"
"05/28/2024","49.60","50.12","50.60","49.33","1.89M","-0.56%"
"05/27/2024","49.88","50.80","51.24","49.45","1.68M","-1.62%"
"05/24/2024","50.70","50.60","51.02","50.30","1.78M","-0.55%"
"05/23/2024","50.98","51.92","51.92","50.76","2.58M","-1.85%"
"05/22/2024","51.94","52.76","52.96","51.40","3.07M","-1.96%"
"05/21/2024","52.98","55.24","55.32","52.76","2.12M","-4.09%"
"05/20/2024","55.24","55.30","55.94","54.72","1.94M","-0.18%"
"05/17/2024","55.34","55.40","55.96","54.94","2.13M","-0.29%"
"05/16/2024","55.50","54.20","56.12","53.84","2.65M","2.85%"
"05/15/2024","53.96","53.10","54.16","52.98","1.51M","1.81%"
"05/14/2024","53.00","53.26","53.72","52.46","1.99M","0.49%"
"05/13/2024","52.74","52.40","52.86","52.10","1.49M","0.65%"
"05/10/2024","52.40","53.64","53.92","52.08","1.15M","-2.89%"
"05/09/2024","53.96","53.30","54.46","53.20","1.01M","1.05%"
"05/08/2024","53.40","53.20","53.46","52.50","1.21M","0.34%"
"05/07/2024","53.22","53.10","53.48","52.44","1.62M","0.08%"
"05/06/2024","53.18","52.06","53.32","52.00","1.35M","2.98%"
"05/02/2024","51.64","51.28","52.06","50.96","1.32M","0.70%"
"04/30/2024","51.28","52.18","52.26","51.26","1.65M","-2.03%"
"04/29/2024","52.34","51.16","52.36","50.82","1.42M","1.63%"
"04/26/2024","51.50","51.10","51.82","50.92","1.09M","0.98%"
"04/25/2024","51.00","51.32","51.56","50.54","886.73K","-0.20%"
"04/24/2024","51.10","51.86","52.08","50.62","1.31M","-1.43%"
